Source;ID Name;ID CAS Nr;ID EG Nr;ID EG Annex Nr;EHS S Score;EHS H Score;EHS E Score;EHS Color Code;Boiling Point  (øC);Melting Point  (øC);Vapour Pressure (25øC mmHg);Flash Point  (øC);Autoignition Temperature  (øC);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Solubility Water (20 øC g/L);Density (25øC  kg/L);Viscosity (25øC  mPa.s);Relative Vapour Density  (Air=1);Log P Octanol Water (20øC);Refractive Index (20øC);Surface Tension (25øC mN/m)
DataType;string;string;string;string;numeric;numeric;numeric;string;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric
PARIS III;hexane;110-54-3;203-777-6;NAV;8;7;7;FF6347;68,7;-95,3;150,7623983;-11,82;223;14,9;0;0;0,013;0,66;0,3;2,97;4,11;1,375;17,88
PARIS III;heptane;142-82-5;205-563-8;NAV;6;2;7;FFD700;98,5;-90,6;46,05378734;-1,1;215;15,3;0;0;0,0022;0,7;0,39;3,5;4,66;1,388;19,65
Mixed;octane;111-65-9;NAV;NAV;5;2;7;FFD700;125,6;-56,8;14,10115964;13;220;15,5;0;0;0,0007;0,71;0,5;3,9;5,18;1,397;21,14
Mixed;n-pentane;109-66-0;203-692-4;NAV;8;3;7;FF6347;36;-129,7;51,37922529;-49,4;260;14,5;0;0;0,041;0,63;0,22;2,5;3,39;1,358;15,49
Mixed;nonane;111-84-2;NAV;NAV;3;2;7;FFD700;150,8;-53,5;4,44786578;31,1;206;15,7;0;0;7;0,72;0,67;4,4;5,65;1,407;22,38
PARIS III;2-methylbutane;78-78-4;NAV;NAV;7;3;7;FF6347;27,8;-159,9;688,556625;-51;420;13,8;0;0;0,0485;0,65;0,21;2,48;3,3;1,351;14,44
PARIS III;ethanol;64-17-5;200-578-6;NAV;4;3;3;9ACD32;78,2;-114,1;59,32987913;8,89;365;15,8;8,8;19,4;1000;0,78;1,07;1,59;-0,32;1,3611;21,82
PARIS III;propan-2-ol;67-63-0;NAV;NAV;4;3;3;9ACD32;82,3;-89,5;45,37873182;11,67;425;15,8;6,1;16,4;1000;0,79;2,04;2,1;0,05;1,3776;21,3
PARIS III;propan-1-ol;71-23-8;200-746-9;NAV;5;4;3;FFD700;97,2;-126,1;21,00172712;15;405;16;6,8;17,4;1000;0,8;1,96;2,07;0,34;1,385;23,32
Mixed;methanol;67-56-1;200-659-6;NAV;4;7;5;9ACD32;64,7;-98;126,7604244;12;455;14,7;12,3;22,3;1000;0,75;0,544;1,11;-0,74;1,3288;22,07
Mixed;2-butanol;78-92-2;NAV;NAV;3;2;3;9ACD32;99,5;-114,7;18,30150507;26;390;15,8;5,7;14,5;125;0,8;3,65;2,6;0,6;1,395;23,73
Mixed;3-methylbutanol;123-51-3;204-633-5;NAV;3;2;3;9ACD32;131,1;-117,2;2,370194918;45,6;365;15,8;5,2;13,3;25;0,81;3,93;3,04;1,28;1,405;23,71
Mixed;2-methylbutanol;137-32-6;205-289-9;NAV;3;2;3;9ACD32;128;-94,52;3,120256601;43;340;16;5,1;14,3;30;0,82;4,3;3;1,29;1,41;24,6
Mixed;1-butanol;71-36-3;200-751-6;603-004-00-6;3;4;3;9ACD32;117,6;-89;6,698050829;35;340;16;5,7;15,8;80;0,81;2,544;2,6;0,785;1,3988;24,67
Mixed;isobutanol;78-83-1;201-148-0;NAV;3;4;3;9ACD32;107,8;-108;10,50086356;27,78;430;15,1;5,7;15,9;95;0,8;3,37;2,6;0,79;1,3957;22,54
PARIS III;propylbenzene;103-65-1;203-132-9;NAV;3;2;7;FFD700;159,2;-99,5;3,420281274;42,1;450;17,5;2,8;3,4;0,0234;0,86;0,84;4,14;3,2;1,4912;28,44
PARIS III;ethylbenzene;100-41-4;202-849-4;NAV;5;2;5;FFD700;136,1;-94,9;9,600789542;25,94;432;17,8;0,6;1,4;0,2;0,86;0,63;3,7;3,15;1,493;28,74
PARIS III;toluene;108-88-3;203-625-9;NAV;5;6;3;FFD700;110,6;-94,9;28,35233162;10;535;18;1,4;2;0,5;0,87;0,55;3,1;2,65;1,4961;27,93
Mixed;o-xylene;95-47-6;202-422-2;NAV;4;2;5;FFD700;144,5;-25,2;6,608043427;28,88;465;17,8;1;3,1;0,2;0,87;0,76;3,7;3,12;1,503;29,76
Mixed;xylene;1330-20-7;NAV;NAV;4;2;5;FFD700;137;-25;7,99;25;463;17,6;1;3,1;0,19;0,86;0,76;3,7;3,16;1,497;28,7
Mixed;Mesitylene;108-67-8;NAV;NAV;3;2;7;FFD700;164,74;-44,72;2,4;50;559;18;6;0,6;0,0482;0,86;0,727;4,1;3,42;1,49541;27,55
Mixed;p-cymene;99-87-6;NAV;NAV;4;5;5;FFD700;177,1;-68,9;1,462620282;47,2;435;18;3,5;2,7;0,02;0,86;0,76;4,62;4,1;1,489;27,77
Mixed;p-xylene;106-42-3;NAV;NAV;4;2;5;FFD700;138;12;8,84;25;529;17,6;1;3,1;0,16;0,86;0,603;3,7;3,15;1,496;28
Mixed;Bis(2-ethylhexyl) adipate;103-23-1;203-090-1;NAV;1;0;7;FFD700;417;-67,8;6,44303E-06;168,9;350;16,7;2;5,1;0,00078;0,93;11,76;12,8;8,114;1,4474;29,71
Mixed;Dimethyl adipate;627-93-0;NAV;NAV;1;0;7;FFD700;229,71;10,3;0,060379965;107,2;360;16,3;6,8;8,5;1;1,06;1,17;6,1;1,03;1,428;35,42
Mixed;dimethylsuccinate;106-65-0;203-419-9;NAV;1;2;5;9ACD32;196,4;19;0,410283741;88,4;365;16,1;7,7;8,8;8,5;1,09;1,51;5,04;0,19;1,4197;36,02
