Input	ID_Name_1	Label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C
DataType	string	string	string	string	string	numeric	numeric	numeric			numeric	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV	NAV												
PARIS III	hexane	0	110-54-3	203-777-6	NAV	68.7	-95.3	150.762398283	0.66	0.3	-11.82	223	14.9	0	0	0.013	1.88
PARIS III	heptane	0	142-82-5	205-563-8	NAV	98.5	-90.6	46.0537873362	0.7	0.39	-1.1	215	15.3	0	0	0.0022	1.925
PARIS III	2-methylbutane	0	78-78-4	NAV	NAV	27.8	-159.9	688.56	0.65	0.21	-51	420	13.8	0	0	0.0485	1.845
PARIS III	propylbenzene	1	103-65-1	203-132-9	NAV	159.2	-99.5	3.4202812745	0.86	0.84	42.1	450	17.5	2.8	3.4	0.0234	2.4
PARIS III	ethylbenzene	1	100-41-4	202-849-4	NAV	136.1	-94.9	9.6007895424	0.86	0.63	25.94	432	17.8	0.6	1.4	0.2	2.5
PARIS III	methylbenzene	1	108-88-3	203-625-9	NAV	110.6	-94.9	28.3523316174	0.87	0.55	10	535	18	1.4	2	0.5	2.4
PARIS III	pentan-2-one	2	107-87-9	203-528-1	NAV	102.2	-76.9	35.4029114376	0.8	0.47	7.2	505	16	7.6	4.7	43	13.6
PARIS III	4-methylpentan-2-one	2	108-10-1	203-550-1	NAV	116.5	-84	19.8766345995	0.8	0.54	13.3	460	15.3	6.1	4.1	17	13.11
PARIS III	butan-2-one	2	78-93-3	201-159-0	NAV	79.5	-86.6	95.33	0.79	0.4	9	404	16	9	5.1	290	18.56
PARIS III	ethanol	3	64-17-5	200-578-6	NAV	78.2	-114.1	59.3298791253	0.78	1.07	8.89	365	15.8	8.8	19.4	1000000	25.16
PARIS III	propan-2-ol	3	67-63-0	NAV	NAV	82.3	-89.5	45.3787318215	0.79	2.04	11.67	425	15.8	6.1	16.4	1000000	18.3
PARIS III	propan-1-ol	3	71-23-8	200-746-9	NAV	97.2	-126.1	21.001727124	0.8	1.96	15	405	16	6.8	17.4	1000000	21.8
Caldic	n-Butyl Acetate	4	123-86-4	NAV	NAV	126.4	-78	11.498	0.876	0.6	26.5	421.11	15.8	3.7	6.3	11.4	5.01
Caldic	n-Butyl Propionate	4	590-01-2 	NAV	NAV	146.4	-90	3.44	0.871	0.78	38.5	426.11	15.7	5.5	5.9	5.72	4.838
Caldic	n-Propyl Propionate	4	106-36-5 	NAV	NAV	122.8	-76	14.263	0.876	0.64	22.5	434.9	15.5	5.6	5.7	6	5.249
PARIS III	dipropylether	5	111-43-3	203-869-6	NAV	90	-122	62.56	0.74	0.4	-20	215	15.1	3.2	3.2	3	3.38
PARIS III	Diethyl ether	5	60-29-7	200-467-2	NAV	34.6	-116.3	537.04	0.73	0.22	-45	160	14.5	2.9	4.6	69	4.197
DNCP	Diisopropyl ether	5	108-20-3	204-881-4	NAV	68	-86.8	149.26	0.7192	0.38	-29	405	15.1	3.2	3.2	9	3.9
PARIS III	4-ethyl-3-methyl-heptane	6	52896-89-6	NAV	NAV	165	-118.28	2.33	0.73	0.99	84.42	396	12.1	0	0	0	1.8
PARIS III	4-ethyl-2-methyl-heptane	6	52896-88-5	NAV	NAV	158	-108.2	2.58	0.73	0.94	81.89	396	12.1	0	0	0	1.8
PARIS III	3-ethyl-5-methyl-heptane	6	52896-90-9	NAV	NAV	158.2	-107.85	2.54	0.73	1	82.7	396	12.1	0	0	0	1.8
PARIS III	2-methylpropan-1-amine	7	78-81-9	201-145-4	NAV	68.5	-85	13.8	0.72	0.56	-9	400	14.9	4.7	7.2	1000	4.5
PARIS III	Butylamine, tert-	7	75-64-9	200-888-1	NAV	45	-72.65	37.28	0.7	0.67	-38	380	14.5	4.6	8.1	1000	5.4
PARIS III	2-methylbutan-1-amine	7	96-15-1	202-483-5	NAV	92.39	-105.09	35.7	0.74	0.68	3.3	380	15.1	3.2	3.2	1000	4.5
PARIS III	5-methylheptan-3-one	8	541-85-5	NAV	NAV	159	-56.39	1.94	0.81	0.79	43.9	475	15.7	4.5	4	3	10.7
PARIS III	ethyl isopropyl ketone	8	565-69-5	NAV	NAV	113.5	-82.16	18.08	0.8	0.45	10.8	475	16	7.6	4.7	17	8.2
Chemtec Solvent Database	Diisopropyl ketone	8	565-80-0	209-294-6	NAV	124	-69	13.43	0.805	0.626	22.1	478	15.7	5.7	4.3	5.7	17.1
