Input	ID_Name_1	label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV
PARIS III	hexane	0	110-54-3	203-777-6	NAV	68.7	-95.3	150.762398283	-11.82	223	14.9	0	0	0.013	1.88	0.66	0.3
PARIS III	heptane	0	142-82-5	205-563-8	NAV	98.5	-90.6	46.0537873362	-1.1	215	15.3	0	0	0.0022	1.925	0.7	0.39
PARIS III	2-methylbutane	0	78-78-4	NAV	NAV	27.8	-159.9	688.56	-51	420	13.8	0	0	0.0485	1.845	0.65	0.21
PARIS III	propylbenzene	1	103-65-1	203-132-9	NAV	159.2	-99.5	3.4202812745	42.1	450	17.5	2.8	3.4	0.0234	2.4	0.86	0.84
PARIS III	ethylbenzene	1	100-41-4	202-849-4	NAV	136.1	-94.9	9.6007895424	25.94	432	17.8	0.6	1.4	0.2	2.5	0.86	0.63
PARIS III	toluene	1	108-88-3	203-625-9	NAV	110.6	-94.9	28.3523316174	10	535	18	1.4	2	0.5	2.4	0.87	0.55
PARIS III	pentan-2-one	2	107-87-9	203-528-1	NAV	102.2	-76.9	35.4029114376	7.2	505	16	7.6	4.7	43	13.6	0.8	0.47
PARIS III	4-methylpentan-2-one	2	108-10-1	203-550-1	NAV	116.5	-84	19.8766345995	13.3	460	15.3	6.1	4.1	17	13.11	0.8	0.54
PARIS III	butan-2-one	2	78-93-3	201-159-0	NAV	79.5	-86.6	95.33	9	404	16	9	5.1	290	18.56	0.79	0.4
