Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV						
Boss Paints	monoethyleenglycol	107-21-1	203-473-3	603-027-00-1	198	-13	116	NAV	NAV	20
Boss Paints	propyleenglycol	57-55-6	200-338-0	NAV	188	-60	109	NAV	1.04	46
DNCP	dichloormethaan	75-09-2	200-838-9	602-004-00-3	39	-95	NAV	NAV	NAV	NAV
DNCP	monochloorbenzeen	108-90-70	203-628-5	NAV	131	-45	23	NAV	NAV	0.753
DNCP	tetrachlooretheen	127-18-4	204-825-9	602-028-00-4	120	-22	NAV	NAV	NAV	0.844
DNCP	hexaan	110-54-3	203-77-6	601-037-00-0	69	-95	-22	NAV	0.6606	0.3
DNCP	heptane	142-82-5	205-563-8	601-008-00-2	98	-91	-4	NAV	0.6795	0.387
DNCP	cyclohexaan	110-82-7	203-806-2	601-017-00-1	81	6.5	-18	NAV	0.7739	0.894
DNCP	tolueen	108-88-3	203-625-9	601-021-00-3	111	-95	4	NAV	NAV	0.56
DNCP	mixed_xyleen	90989-38-1	NAV	NAV	136	-34	23	NAV	NAV	NAV
DNCP	ethanol	64-17-5	200-578-6	603-002-00-5	78.4	-114	12	NAV	NAV	1.074
DNCP	isopropanol	67-63-0	200-661-7	603-117-00-0	81	-89.5	12	NAV	0.7809	NAV
DNCP	methanol	67-56-1	200-659-6	NAV	64.7	-98	12	NAV	NAV	0.544
DNCP	n-propanol	71-23-8	200-746-9	603-003-00-0	97	-127	15	NAV	0.7997	1.945
DNCP	n-butanol	71-36-3	200-751-6	603-004-00-6	117.6	-89	35	NAV	NAV	2.544
DNCP	cyclohexanol	108-93-0	203-630-6	603-009-00-3	161	23	67	NAV	NAV	57.5
DNCP	MEK	78-93-3	201-159-0	606-002-00-3	80	-87	-7	NAV	0.7999	0.405
DNCP	MIBK	108-10-1	203-550-1	606-004-00-4	117.4	-84	14	NAV	0.7965	0.545
DNCP	aceton	67-64-1	200-662-2	606-001-00-8	56	-95	-20	NAV	0.7845	0.306
DNCP	methyl_acetate	79-20-9	201-185-2	607-021-00-x	57.4	-98	-10	NAV	NAV	0.364
DNCP	ethyl_acetate	141-78-6	205-500-4	607-022-00-5	75	-83.5	-4	NAV	NAV	0.423
DNCP	butyl_acetate	123-86-4	204-658-1	607-025-00-1	126	-77.9	24	NAV	NAV	NAV
DNCP	isopropyl_acetate	108-21-4	203-561-1	NAV	88.8	-73	4	NAV	NAV	0.49
DNCP	THF	109-99-9	203-726-8	603-025-00-0	66	-108.4	-21	NAV	0.8833	0.456
DNCP	DIPE	108-20-3	204-881-4	NAV	68	85.5	-29	NAV	0.7192	0.38
DNCP	MTBE	1634-04-4	216-653-1	NAV	54	-110	-28	NAV	0.7353	NAV
DNCP	dioxaan	123-91-1	204-661-8	NAV	101	12	12	NAV	NAV	1.177
DNCP	2-methyl-THF	96-47-9	202-507-4	NAV	78	-136	-11	NAV	NAV	4
DNCP	DEG	111-46-6	203-872-2	NAV	245	-10	143	NAV	NAV	30.2
DNCP	TEG	112-27-6	203-953-2	603-096-00-8	285	-7	165	NAV	NAV	NAV
DNCP	DPG	25265-71-8	246-770-3	NAV	229	NAV	138	0.03	NAV	NAV
DNCP	DMF	68-12-2	200-679-5	616-001-00-x	153	-61	58	NAV	0.9445	0.794
DNCP	DMAC	127-19-5	204-826-4	NAV	164	-20	70	1.3	0.9372	1.927
DNCP	NMP	872-50-4	212-828-1	606-021-00-7	202	-24	91	0.5	1.023	NAV
DNCP	TEA	121-44-8	204-469-4	612-004-00-5	90	-115	-11	NAV	NAV	0.347
DNCP	MDEA	105-59-9	203-312-7	603-079-00-5	243	-21	138	NAV	1.043	NAV
DNCP	DMAPA	109-55-7	203-680-9	612-061-00-6	133	-60	32	NAV	NAV	NAV
DNCP	PGMEA	108-65-6	203-603-9	607-195-00-7	146	-87	42	NAV	NAV	NAV
DNCP	PGME	107-98-2	216-455-5	603-064-00-3	118	-97	33	NAV	NAV	NAV
DNCP	PGEE	1569-02-4	216-374-5	603-177-00-8	132	-100	42	NAV	NAV	NAV
DNCP	EGME	109-86-4	203-713-7	NAV	124	-85	38	9.5	NAV	NAV
DNCP	ACN	75-05-8	200-835-2	608-001-00-3	81	-46	12.8	NAV	NAV	0.369
DNCP	DMSO	67-68-5	200-664-3	NAV	189	18.4	87	NAV	1.101	1.987
DNCP	ethyl_lactate	97-64-3	202-598-0	NAV	154	-23	46.1	NAV	1.03	NAV
Boss Paints	white_spirit_d40	64742-48-9	NAV	NAV	145	NAV	36	NAV	NAV	1.23
RIVM ZZS-2-BIO	diglyme	11-96-6	203-924-4	NAV	162	-64	51	NAV	NAV	NAV
RIVM ZZS-2-BIO	isosorbidedimethyl_ether	5306-85-4	NAV	NAV	NAV	NAV	103	NAV	NAV	NAV
RIVM ZZS-2-BIO	gamma-valerolacton	108-29-2	203-569-5	NAV	207	-31	96	NAV	NAV	NAV
RIVM ZZS-2-BIO	methyl_levulinate	624-45-3	NAV	NAV	193	NAV	72	NAV	NAV	NAV
